Epoch,BLEU,METEOR,validation_loss
1,27.7835,0.5317,1.9499915838241577
2,27.6633,0.5337,1.9085289239883423
3,27.8602,0.5349,1.8848443031311035
4,28.0361,0.5365,1.869979739189148
5,27.7826,0.5356,1.860225796699524
6,27.901,0.5365,1.8526283502578735
7,27.9651,0.537,1.8474195003509521
8,28.0058,0.5369,1.8443479537963867
9,28.0214,0.5379,1.8418569564819336
10,28.0307,0.5377,1.8416186571121216
1,29.6097,0.5409,1.5810096263885498
2,30.1763,0.545,1.5280154943466187
3,30.3674,0.5492,1.5055866241455078
4,30.4685,0.5489,1.4970455169677734
5,30.9056,0.5503,1.4919929504394531
6,30.6871,0.5496,1.492728352546692
7,30.8259,0.5504,1.4924736022949219
8,30.6909,0.5499,1.4945107698440552
9,30.4868,0.5488,1.4983900785446167
10,30.4624,0.549,1.5002484321594238
1,27.3563,0.5302,1.8858401775360107
2,27.4142,0.5322,1.8464223146438599
3,27.4755,0.533,1.8245317935943604
4,27.5767,0.5327,1.8095519542694092
5,27.623,0.5331,1.7991516590118408
6,27.6541,0.5344,1.7907742261886597
7,27.5871,0.5333,1.7850162982940674
8,27.5683,0.5334,1.7816345691680908
9,27.6195,0.5338,1.7797763347625732
10,27.6262,0.534,1.779430866241455
